question,answer

"What is the syllabus for CLAT 2025?","The CLAT 2025 syllabus includes English Language, Current Affairs including General Knowledge, Legal Reasoning, Logical Reasoning, and Quantitative Techniques."
"How many questions are there in the English section?","The English Language section typically has around 22-26 questions out of the total 120."
"What was the cutoff for NLSIU Bangalore last year?","The CLAT 2024 cutoff rank for NLSIU Bangalore was around AIR 114 for the general category."
"What is the total duration of the CLAT exam?","The CLAT exam duration is 2 hours (120 minutes)."
"What is the marking scheme in CLAT?","Each correct answer gives you 1 mark and 0.25 marks are deducted for each incorrect answer."
"Is there any age limit for CLAT?","No, there is no upper age limit for appearing in the CLAT exam."
"How many times can I appear for CLAT?","There is no restriction on the number of attempts for the CLAT exam."
"What is the mode of CLAT 2025?","CLAT 2025 will be conducted in offline mode (pen and paper based)."
"When will CLAT 2025 be held?","CLAT 2025 is tentatively scheduled for December 2024."
"How can I apply for CLAT 2025?","You can apply for CLAT 2025 through the official website consortiumofnlus.ac.in."
"What is the application fee for CLAT 2025?","The application fee is ₹4,000 for general category and ₹3,500 for SC/ST/BPL candidates."
"How many NLUs participate in CLAT?","A total of 24 National Law Universities (NLUs) participate in CLAT for UG admissions."
"Can I edit the CLAT application form after submission?","Yes, a correction window is usually provided for editing the CLAT application form."
"What is the eligibility for UG CLAT?","You must have passed 10+2 or equivalent with at least 45% marks (40% for SC/ST)."
"Is coaching necessary for CLAT?","Coaching is not mandatory but can be helpful for structured preparation and practice."
"How many questions are there in CLAT 2025?","CLAT 2025 will have 120 multiple-choice questions."
"Is there a separate paper for each NLU?","No, CLAT is a centralized exam and a single paper is used for all NLUs."
"What are the subjects in CLAT UG?","The subjects are English Language, Current Affairs, Legal Reasoning, Logical Reasoning, and Quantitative Techniques."
"What is the weightage of each section in CLAT?","Each section carries varying weightage: Legal Reasoning (~25%), GK (~25%), English (~20%), LR (~20%), and QT (~10%)."
"Is CLAT held in multiple languages?","No, CLAT is conducted only in English."
"What is CLAT?","CLAT stands for Common Law Admission Test. It is an entrance exam conducted all over India for admission into various law courses in participating law schools. CLAT is conducted for undergraduate students (5 year dual degree programs which have LLB and degrees awarded from BA to BSc, BBA, and B.Com) as well as for Graduate students opting for LLM programs."
"When did CLAT start?","CLAT exam was started in 2008, before that each law school conducted their own entrance exam."
"Who conducts CLAT exam?","CLAT is conducted by 22 National Law Universities. Initially, it was conducted by 14 NLUs. It is held on a rotational basis by participating NLUs based on their year of establishment. The first CLAT exam was conducted by NLSIU, Bangalore in 2008."
"How to apply for CLAT?","Apply online via www.clat.ac.in by registering and creating a login. Upload documents online only. No physical documents should be sent. Applications must be completed before the deadline."
"How much fee is to be remitted while applying for CLAT?","The application fee is Rs. 4,000/- for Unreserved/OBC/PWD and others. For SC/ST candidates, it is Rs. 3,500/-. This includes the application form and e-brochure."
"What is the Eligibility criterion for CLAT?","No age limit. Must have passed 10+2 or equivalent with at least 45% marks (40% for SC/ST). Candidates appearing in 10+2 are also eligible, subject to proof during counseling."
"Can a candidate apply for UG programme (CLAT) who is appearing in qualifying (10+2) Examination?","Yes, but they must submit proof of eligibility at the time of admission."
"Do I need to send the certificates along with Application Form?","No. Original certificates must be submitted only at the time of admission to the allotted university."
"Can a candidate apply for CLAT offline?","No, the application is only through online mode."
"What will be the Mode of CLAT Exam?","Since 2019, CLAT is conducted in offline (pen and paper) mode."
"What will be the medium of CLAT Exam?","The medium of examination is English only."
"Is there any negative marking in examination?","Yes, 0.25 marks are deducted for each wrong answer."
"What is the question paper pattern for CLAT Exams?","UG exam has 150 questions in 2 hours. MCQ format. Negative marking of 0.25 per wrong answer. Sections include English, Current Affairs, Legal Reasoning, Logical Reasoning, and Quantitative Techniques."
"Is there any minimum cut-off CLAT score prescribed for admission in any NLU?","No minimum cut-off. Candidates are considered in merit order within their category."
"Is there any reservation available on domicile basis in any of the LAW school?","Yes, some NLUs have domicile-based reservations."
"Where could I find more information regarding courses offered by various National Law Universities?","Visit the official websites of the NLUs participating in CLAT."
"Where to contact for details about CLAT?","Contact: P.O. Bag 7201, Nagarbhavi, Bangalore - 560072, Karnataka, India. Email: clat@consortiumofnlus.ac.in, Phone: 08047162020, Timings: 10:00 am to 05:00 pm (working days)."
"Are there other Colleges/Universities/Organizations which accepts CLAT Score?","Yes, many universities such as Shobhit University, NMIMS, Bennett University, SRM, Amity, Alliance, etc., accept CLAT scores. See full list in CLAT brochure or website."
"Are Foreign Nationals required to take CLAT for admission to any of the National Law Universities?","No. Foreign Nationals are not required to take CLAT. They may directly apply to NLUs offering seats to them."
"What are the entrance exams one needs to take to get admission to the top Law colleges?","CLAT, AILET, SET, LSAT, Christ University Entrance Test, UL-SAT."
"What is CLAT, and why is it important?","The Common Law Admission Test (CLAT) is an entrance exam conducted annually for admission into undergraduate and postgraduate law programs at NLUs in India. The importance of CLAT stems from its role as the primary gateway to the most prestigious law schools in the country. It tests students on various skills such as reading comprehension, legal reasoning, general knowledge, and quantitative techniques. Scoring well in CLAT can secure a spot in one of the highly ranked NLUs, which opens doors to lucrative careers in law, be it in corporate firms, judicial services, litigation, or academics."
"What is the eligibility criteria for CLAT?","The eligibility criteria differ for UG and PG programs:\nFor UG (CLAT-UG):\n- Candidates must have completed their 10+2 (or equivalent) from a recognized board.\n- General/OBC/PWD/NRI candidates must secure at least 45% marks, while SC/ST candidates need 40% marks.\n- Candidates appearing for the qualifying exam (10+2) in the same year can also apply, provided they meet the conditions at the time of admission.\nFor PG (CLAT-PG):\n- Applicants must hold an LLB degree or equivalent with a minimum of 50% marks (45% for SC/ST candidates).\n- Final-year LLB students can also apply if they meet the eligibility criteria at the time of admission."
"What is the exam pattern for CLAT?","The CLAT exam pattern is slightly different for UG and PG courses:\nFor CLAT-UG: 150 MCQs in 2 hours across:\n- English Language (28–32 questions)\n- Current Affairs incl. GK (35–39)\n- Legal Reasoning (35–39)\n- Logical Reasoning (28–32)\n- Quantitative Techniques (13–17)\nEach question: 1 mark; -0.25 for wrong answers.\nFor CLAT-PG: 120 MCQs based on comprehension from Constitutional Law, Jurisprudence, Criminal Law, etc., in 2 hours. Same marking scheme."
