chunk
best law colleges of india top law colleges of india about clat best clat coaching career in law nlus participating in clat about ailet about set about lsat about ulsat
seat distribution of nlu best coaching for ailet best coaching for set top law firms of india home courses clat commerce admissions commerce clat student zone prospective students fee structure
scholarship performance reward refund policy weekly timetable doubtclass timetable morning timetable evening timetable contact us general enquiry admission counseling academics management apply online payfee online menu home courses clat commerce
admissions commerce clat results xii cbse rbse b com i st year ii nd year iii rd year m com abst previous final cma foundation dec 2016 inter dec 2016
final dec 2016 clat ca cpt foundation ipcc final cs foundation executive professional cseet result summary xii cbse xii rbse clat cacpt caipcc cafinal csfoundation csexecutive csprofessional student zone prospective
students fee structure scholarship performance reward refund policy existing students saper downloads weekly timetable doubtclass timetable morning timetable evening timetable faqs chartered accountancy ca company secretory cs costmanagement accountancy bcom
clat centers kota about us welcome words founders message about clpd resonance team academic team media box resonance in news contact us general enquiry admission counseling academics management faq clat
frequently asked questions faqs about clat click here q1 what is clat ans clat stands for common law admission test it is an entrance exam conducted all over india for
admission into various law courses in participating law schools clat is conducted for undergraduate students 5 year dual degree programs which have llb and degrees awarded from ba to bsc
bba and bcom as well as for graduate students opting for llm programs q2 when did clat start ans clat exam was started in 2008 before that each law school
conducted their own entrance exam q3 who conducts clat exam ans clat is the entrance examination conducted by 22 national law universities earlier it was 14 nlus in clat2014 in
2008 the first clat core committee consisting of vicechancellors of participating nlus had decided that the test should be conducted on rotational basis by participating nlus in the order of
their establishment the first clat exam was conducted by nlsiu bangalore in 2008 q4 how to apply for clat ans consider following details while applying for clat exam 1 there
is only one mode of application ie online which can be accessed by a candidate after registering himselfherself on the clat website wwwclatacin by signing up creating a login account
2 copies of the filled in online application form or uploaded certificatesdocuments should not be sent to the clat office 3 incomplete application or application in any mode other than
online or application after the last date and time shall not be considered it shall be the obligation of the candidate to fill the online application form in a timely
manner q5 how much fee is to be remitted while applying for clat ans fee to be remitted while submitting the application form for unreservedobcpwd and other category candidates is
rs 4000 for scst category candidates rs 3500 the above application fee includes cost of online application form and ebrochure q6 what is the eligibility criterion for clat ans the
